wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
4,190,26,5,0,22,3,"Married",1,1,1750,1,0,1,484
49,272,27,6,1,35,4,"Married",1,1,2030,1,0,1,1225
10,81,24,3,0,40,-2,"Never-married",0,0,306,0,1,0,1600
20,20,23,1,1,40,100,"Never-married",0,0,270,0,1,0,1600
389,409,32,2,1,40,-4,"Never-married",0,0,1153,1,1,0,1600
10,168,25,7,0,8,-2,"Never-married",1,0,648,0,1,0,64
17,296,32,12,0,30,40,"Never-married",1,0,322,0,1,0,900
14,372,32,13,0,25,-4,"Never-married",1,0,467,0,1,0,625
54,244,25,4,1,50,-2,"Married",1,0,404,0,1,0,2500
38,44,23,2,1,15,4,"Never-married",0,0,315,0,0,1,225
25,69,23,3,1,22,30,"Never-married",0,0,355,0,0,1,484
18,87,24,4,1,15,150,"Never-married",0,0,288,0,0,1,225
71,158,25,5,1,40,10,"Never-married",0,0,446,0,0,1,1600
18,176,25,6,0,20,3,"Never-married",0,0,297,0,0,1,400
21,203,26,7,1,25,40,"Never-married",0,0,351,0,0,1,625
52,255,27,8,1,40,45,"Never-married",0,0,455,0,0,1,1600
196,196,31,1,0,40,7,"Divorced",1,0,459,0,0,1,1600
20,272,26,4,1,24,-4,"Never-married",0,0,409,0,1,0,576
13,328,33,4,0,12,10,"Never-married",0,0,608,1,0,1,144
27,27,20,1,0,40,-4,"Never-married",0,0,266,0,1,0,1600
21,50,21,3,0,40,99995,"Never-married",0,0,232,0,1,0,1600
194,205,30,3,1,40,300,"Married",1,0,775,1,0,1,1600
170,170,28,1,0,40,-4,"Never-married",0,0,315,0,1,0,1600
52,52,20,1,0,15,-2,"Never-married",0,0,236,1,1,0,225
17,104,20,2,1,40,30,"Never-married",0,0,197,0,1,0,1600
13,78,28,4,0,15,2,"Never-married",0,1,322,0,0,1,225
120,253,32,7,1,60,50,"Never-married",0,1,981,0,0,1,3600
128,128,24,1,0,30,100,"Never-married",0,1,315,0,1,0,900
38,46,19,2,0,30,-2,"Never-married",0,0,242,1,0,0,900
18,78,27,4,0,25,15,"Never-married",0,0,249,0,0,0,625
55,137,28,4,0,10,12,"Never-married",0,0,258,0,0,0,100
60,60,27,1,0,32,17,"Never-married",0,0,516,0,0,1,1024
15,23,20,2,1,40,-2,"Married",0,1,384,0,1,0,1600
143,187,24,6,0,26,1,"Married",0,1,404,0,1,0,676
47,256,26,7,1,32,-4,"Married",0,1,422,0,1,0,1024
129,506,31,9,1,50,1,"Married",0,1,374,0,1,0,2500
18,61,21,2,0,18,50,"Never-married",1,1,307,0,1,0,324
186,186,22,1,0,40,15,"Never-married",0,0,315,0,1,0,1600
80,178,31,2,1,40,-4,"Never-married",1,0,779,0,0,1,1600
15,220,21,2,1,45,8,"Never-married",0,0,246,0,0,0,2025
4,224,21,3,1,60,-4,"Never-married",0,0,286,0,0,0,3600
103,259,27,3,1,40,50,"Never-married",1,0,370,0,0,0,1600
1,349,29,5,0,16,-4,"Never-married",1,0,399,0,0,0,256
86,531,34,6,1,40,101,"Never-married",1,0,484,0,0,0,1600
51,582,34,7,1,38,50,"Never-married",1,0,505,0,0,0,1444
168,168,22,1,0,30,20,"Never-married",1,1,421,0,0,1,900
115,566,28,5,1,40,350,"Never-married",1,1,891,0,0,1,1600
18,654,30,7,1,40,300,"Married",1,1,615,0,0,1,1600
49,775,33,9,1,40,55,"Married",1,1,599,0,0,1,1600
325,325,23,1,1,40,30,"Never-married",0,1,648,0,1,0,1600
112,112,18,1,0,16,20,"Never-married",0,1,311,0,1,0,256
84,231,27,1,1,10,-4,"Never-married",0,1,307,0,1,0,100
48,48,22,1,0,10,10,"Never-married",1,1,363,1,0,1,100
24,195,24,5,0,40,4,"Never-married",1,1,519,0,0,1,1600
44,44,23,1,1,40,5,"Never-married",0,1,402,0,0,1,1600
230,344,29,3,1,40,25,"Married",0,1,823,0,0,1,1600
104,448,31,4,1,55,15,"Married",0,1,803,0,0,1,3025
74,306,24,2,0,60,85,"Never-married",1,1,495,0,0,1,3600
191,191,22,1,1,35,10,"Never-married",1,1,252,1,0,1,1225
188,394,29,5,1,55,50,"Never-married",1,1,454,0,0,1,3025
9,446,31,8,0,30,-4,"Never-married",1,1,632,0,0,1,900
4,459,31,9,0,20,30,"Never-married",1,1,411,0,0,1,400
80,552,33,9,1,40,25,"Never-married",1,1,575,0,0,1,1600
63,615,33,11,1,55,25,"Never-married",1,1,612,0,0,1,3025
27,47,20,2,1,40,30,"Never-married",0,0,422,0,1,0,1600
16,150,23,5,1,40,45,"Never-married",0,0,393,0,1,0,1600
184,375,29,7,1,36,200,"Never-married",0,0,347,0,1,0,1296
34,58,21,2,1,36,10,"Never-married",0,0,269,0,1,0,1296
76,240,25,4,1,25,20,"Never-married",0,0,304,0,1,0,625
117,117,20,1,0,20,50,"Never-married",0,1,348,0,1,0,400
52,145,31,2,1,40,3,"Never-married",0,1,350,0,0,1,1600
190,335,31,3,0,50,80,"Never-married",0,1,1100,1,0,1,2500
4,4,18,1,0,22,4,"Never-married",0,1,363,0,1,0,484
20,37,19,2,1,30,50,"Never-married",0,1,394,1,1,0,900
16,53,19,3,1,50,3,"Never-married",0,1,394,0,1,0,2500
116,214,25,6,1,40,3,"Never-married",0,1,404,0,1,0,1600
4,22,18,2,1,20,-4,"Never-married",0,1,413,0,1,0,400
7,32,19,4,0,23,-4,"Never-married",0,1,368,0,1,0,529
46,179,22,6,1,9,10,"Never-married",0,1,394,0,1,0,81
608,787,34,7,1,40,100,"Never-married",0,1,755,0,1,0,1600
11,798,34,8,1,30,-4,"Never-married",0,1,367,0,1,0,900
2,2,23,1,0,38,200,"Never-married",1,1,525,1,0,1,1444
22,209,26,1,1,50,20,"Never-married",1,1,467,1,0,1,2500
21,230,27,3,0,40,25,"Never-married",1,1,813,1,0,1,1600
46,326,31,4,1,60,25,"Married",1,1,517,1,0,1,3600
12,338,31,5,0,2,20,"Married",1,1,2241,0,0,1,4
78,78,22,1,0,12,2,"Never-married",1,1,499,1,1,0,144
15,99,23,1,0,22,3,"Never-married",1,1,483,1,0,1,484
171,273,26,3,1,40,100,"Never-married",1,1,680,0,0,1,1600
118,391,29,4,1,50,100,"Never-married",1,1,678,0,0,1,2500
402,402,31,1,1,50,2000,"Never-married",0,1,912,0,0,1,2500
108,108,24,1,0,24,-2,"Never-married",0,1,780,1,0,1,576
10,150,22,2,1,65,-4,"Never-married",1,1,99,0,0,1,4225
11,34,18,2,1,35,-4,"Never-married",1,1,294,0,0,0,1225
78,107,29,4,1,30,100,"Never-married",0,1,868,0,1,0,900
185,236,24,3,1,40,650,"Married",1,1,520,0,1,0,1600
7,288,26,5,1,32,-4,"Separated",1,1,261,0,1,0,1024
26,86,19,2,1,32,-2,"Never-married",0,0,316,0,1,0,1024
37,37,22,1,0,32,3,"Never-married",0,0,384,0,1,0,1024
6,129,25,4,1,40,-4,"Never-married",0,0,445,0,1,0,1600
235,235,22,1,0,30,60,"Never-married",0,0,386,0,1,0,900
86,86,18,1,0,27,16,"Never-married",0,0,242,0,1,0,729
27,127,19,2,0,30,20,"Never-married",0,0,236,0,1,0,900
12,219,21,3,0,40,-2,"Never-married",0,0,423,1,1,0,1600
26,296,22,3,0,40,3000,"Never-married",0,0,453,1,1,0,1600
17,325,23,3,0,40,3000,"Never-married",0,0,457,1,1,0,1600
176,224,23,5,1,40,15,"Never-married",1,0,76,0,0,0,1600
27,251,24,6,0,35,20,"Never-married",1,0,76,0,0,0,1225
36,63,21,4,0,30,20,"Never-married",0,0,307,0,1,0,900
