wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
6,221,21,11,1,40,30,"Never-married",0,1,322,0,0,0,1600
6,227,22,12,1,60,-4,"Never-married",0,1,263,0,0,0,3600
46,273,23,13,1,40,120,"Never-married",0,1,384,0,0,0,1600
18,291,23,14,1,50,15,"Never-married",0,1,6149,0,0,0,2500
12,303,23,15,1,40,-4,"Never-married",0,1,384,0,0,0,1600
10,313,23,16,1,40,-4,"Never-married",0,1,345,0,0,0,1600
23,380,25,19,1,40,19,"Never-married",0,1,502,1,0,0,1600
33,413,26,20,1,85,70,"Never-married",0,1,,0,0,0,7225
34,447,26,21,1,70,35,"Never-married",0,1,850,0,0,0,4900
98,582,29,23,1,40,60,"Never-married",0,1,915,0,0,0,1600
19,601,30,24,1,50,100,"Never-married",0,1,332,0,0,0,2500
6,6,26,1,0,12,-4,"Never-married",0,1,524,1,0,1,144
52,60,27,2,1,40,-4,"Never-married",0,1,1331,0,0,1,1600
15,15,19,1,1,30,15,"Never-married",0,1,274,0,0,0,900
40,115,21,4,1,50,4,"Never-married",0,1,295,0,1,0,2500
2,117,21,5,1,40,-4,"Never-married",0,1,315,0,1,0,1600
18,287,29,9,0,8,20,"Never-married",0,1,245,0,1,0,64
22,386,31,10,1,40,6,"Never-married",0,1,342,0,1,0,1600
100,100,25,1,1,30,-4,"Married",1,1,315,0,0,1,900
379,581,35,3,0,15,-2,"Never-married",0,1,306,0,0,1,225
34,619,35,4,1,20,15,"Never-married",0,1,283,0,0,1,400
37,37,17,1,0,20,7,"Never-married",0,1,233,0,0,0,400
8,52,17,4,1,14,-4,"Never-married",0,1,289,0,0,0,196
1,53,17,5,0,20,-4,"Never-married",0,1,233,0,0,0,400
30,188,21,8,1,40,16,"Never-married",0,1,403,0,0,0,1600
18,206,21,9,1,40,10,"Never-married",0,1,403,0,0,0,1600
46,252,22,10,1,45,25,"Never-married",0,1,473,0,0,0,2025
29,163,31,6,1,32,15,"Divorced",0,1,245,0,0,1,1024
17,17,22,1,0,20,58,"Never-married",1,1,233,0,1,0,400
35,102,23,3,0,30,35,"Never-married",1,1,104,0,0,1,900
24,134,24,3,0,40,30,"Never-married",1,1,105,0,0,1,1600
19,155,24,5,1,45,4,"Never-married",1,1,656,0,0,1,2025
111,266,27,6,1,50,140,"Married",1,1,673,1,0,1,2500
34,34,23,1,1,16,-4,"Never-married",1,0,337,1,0,1,256
148,182,26,2,1,60,200,"Never-married",1,0,444,1,0,1,3600
8,8,24,1,1,30,-4,"Never-married",0,1,896,0,1,0,900
4,86,26,5,1,40,-4,"Never-married",0,1,360,0,1,0,1600
380,466,33,6,1,40,8,"Never-married",0,1,537,0,1,0,1600
17,483,33,7,1,45,-4,"Never-married",0,1,311,0,1,0,2025
13,13,17,1,1,40,-4,"Never-married",0,0,294,0,0,0,1600
9,199,23,9,0,36,35,"Never-married",0,0,288,0,0,0,1296
87,321,25,9,1,38,20,"Never-married",0,0,306,0,0,0,1444
45,366,26,11,0,40,50,"Never-married",0,0,321,0,0,0,1600
113,143,29,3,1,40,1,"Married",0,1,629,0,0,1,1600
107,250,31,4,1,40,15,"Married",0,1,736,0,0,1,1600
24,24,32,1,1,20,-4,"Married",1,1,326,1,1,0,400
19,43,32,2,1,24,-4,"Married",1,1,407,1,1,0,576
86,129,32,3,0,45,18,"Married",1,1,819,0,1,0,2025
185,185,24,1,1,40,-2,"Never-married",1,1,392,0,0,1,1600
155,340,27,2,1,40,40,"Married",1,1,597,0,0,1,1600
656,684,35,3,1,50,180,"Married",0,1,1391,0,1,0,2500
31,49,25,1,1,30,-4,"Never-married",1,1,338,0,0,1,900
68,117,26,3,0,40,300,"Never-married",1,1,571,1,0,1,1600
8,129,27,4,1,15,-4,"Never-married",1,1,332,0,0,1,225
2,145,27,6,0,23,12,"Never-married",1,1,387,0,0,1,529
98,98,22,1,1,12,-2,"Never-married",1,1,371,1,0,1,144
90,188,24,2,0,20,75,"Never-married",1,1,350,0,0,1,400
238,476,30,2,0,25,100,"Never-married",1,1,459,0,0,1,625
7,22,17,2,1,15,,"Never-married",0,1,248,0,0,0,225
2,24,17,3,1,15,-4,"Never-married",0,1,226,0,0,0,225
11,35,17,4,1,30,-4,"Never-married",0,1,244,0,0,0,900
13,53,17,6,0,40,50,"Never-married",0,1,278,0,0,0,1600
7,61,17,7,1,40,-4,"Never-married",0,1,267,0,0,0,1600
3,73,18,9,1,20,-4,"Never-married",0,1,283,0,0,0,400
9,82,18,10,0,40,-4,"Never-married",0,1,272,0,0,0,1600
3,104,18,12,1,40,-4,"Never-married",0,1,326,0,0,0,1600
13,126,19,14,1,40,35,"Never-married",0,1,337,0,0,0,1600
33,44,20,2,1,40,12,"Never-married",1,1,337,0,1,0,1600
15,15,20,1,0,40,86,"Never-married",1,1,490,0,1,0,1600
573,845,33,1,0,44,80,"Married",1,1,550,0,0,1,1936
75,148,19,2,0,40,25,"Never-married",1,1,115,0,1,0,1600
525,681,30,3,0,12,300,"Divorced",1,1,,0,1,0,144
84,84,19,1,1,20,5,"Never-married",1,1,242,0,1,0,400
111,195,21,2,0,40,8,"Never-married",1,1,441,1,1,0,1600
45,333,24,2,0,50,19,"Never-married",1,1,505,1,1,0,2500
114,449,26,4,0,40,19,"Never-married",1,1,378,0,1,0,1600
170,170,18,1,0,40,4,"Never-married",0,1,361,0,1,0,1600
8,222,18,3,1,40,-4,"Never-married",0,1,445,0,1,0,1600
62,590,27,6,1,40,200,"Never-married",0,1,367,0,1,0,1600
53,643,28,7,1,40,7,"Never-married",0,1,370,0,1,0,1600
57,57,16,1,0,10,3,-4,0,0,4,0,1,0,100
40,183,18,1,0,8,5,"Never-married",0,0,403,0,1,0,64
5,213,18,4,1,40,2,"Never-married",0,0,302,0,1,0,1600
65,659,29,9,0,38,-4,"Never-married",0,0,374,0,1,0,1444
36,737,29,10,1,40,-4,"Never-married",0,0,429,0,1,0,1600
12,749,31,9,1,40,-4,"Never-married",0,0,337,0,1,0,1600
81,830,31,12,1,40,25,"Never-married",0,0,478,0,1,0,1600
115,115,22,1,0,40,40,"Never-married",1,0,453,0,1,0,1600
18,134,23,2,1,40,1000,"Never-married",1,0,414,0,1,0,1600
51,220,25,4,0,42,-2,"Never-married",1,0,335,1,1,0,1764
152,152,17,1,0,45,2,"Never-married",0,1,468,0,0,0,2025
97,291,19,1,1,40,2,"Never-married",0,1,353,0,0,0,1600
156,668,27,4,1,40,5,"Married",0,1,720,0,0,0,1600
93,93,19,1,1,40,-2,"Never-married",1,0,370,1,1,0,1600
6,6,18,1,1,35,-4,"Never-married",1,0,239,0,0,0,1225
3,9,18,2,0,40,-4,"Never-married",1,0,108,0,0,0,1600
33,121,20,6,1,37,-2,"Never-married",1,0,368,0,0,0,1369
69,270,26,9,1,40,12,"Never-married",1,0,245,1,0,0,1600
66,336,28,10,1,40,-4,"Never-married",1,0,337,0,0,0,1600
84,84,31,1,1,80,500,"Married",1,1,1383,0,0,1,6400
1,1,23,1,0,16,50,"Never-married",1,1,394,1,0,1,256
82,98,23,2,0,6,-4,"Never-married",1,1,371,0,0,1,36
110,110,25,1,1,50,50,"Never-married",0,1,600,0,0,1,2500
55,165,26,2,0,50,50,"Never-married",0,1,684,0,0,1,2500
49,502,29,5,1,50,8,"Never-married",0,1,910,0,0,1,2500
102,604,32,6,1,40,9,"Never-married",0,1,387,0,0,1,1600
108,108,25,1,1,70,20,"Never-married",0,1,352,0,0,1,4900
155,322,30,3,1,40,500,"Married",0,1,638,0,0,1,1600
24,24,24,1,1,30,100,"Never-married",0,1,384,0,0,1,900
151,179,30,3,1,40,800,"Married",0,1,802,0,0,1,1600
5,184,30,4,0,10,2,"Married",0,1,1610,0,0,1,100
24,40,18,2,0,39,20,"Never-married",0,1,373,0,0,0,1521
18,75,18,5,1,40,5,"Never-married",0,1,311,0,0,0,1600
7,82,18,6,0,30,-4,"Never-married",0,1,267,0,0,0,900
12,371,26,10,1,40,-4,"Divorced",0,1,288,0,1,0,1600
26,397,26,11,1,10,30,"Divorced",0,1,2423,0,1,0,100
19,416,28,12,1,40,20,"Divorced",0,1,421,0,1,0,1600
58,542,31,14,0,40,25,"Divorced",0,1,517,1,1,0,1600
4,575,33,16,1,40,-4,"Divorced",0,1,445,1,1,0,1600
14,14,19,1,1,50,45,"Never-married",1,1,236,1,1,0,2500
14,28,20,2,0,40,-2,"Never-married",1,1,325,0,1,0,1600
550,550,31,1,1,60,1000,"Married",1,0,372,1,0,1,3600
63,114,22,4,1,40,-2,"Married",1,1,408,0,1,0,1600
38,152,23,5,0,40,-2,"Married",1,1,450,1,1,0,1600
54,277,25,9,1,40,80,"Married",1,1,606,1,1,0,1600
5,119,19,2,1,35,-4,"Never-married",0,1,322,0,1,0,1225
2,121,19,3,0,0,10,"Never-married",0,1,343,0,1,0,0
10,184,22,7,0,35,1,"Never-married",0,1,446,0,1,0,1225
21,340,27,9,1,40,25,"Married",0,1,677,0,1,0,1600
15,100,23,4,1,20,50,"Never-married",0,0,177,0,1,0,400
32,132,23,5,1,35,30,"Never-married",0,0,307,0,1,0,1225
46,353,28,7,1,40,-4,"Never-married",0,0,304,0,1,0,1600
3,68,18,2,1,31,-4,"Never-married",1,0,294,0,0,0,961
572,572,31,1,0,40,80,"Divorced",1,0,1072,1,0,1,1600
59,193,27,5,1,55,60,"Never-married",0,0,424,0,0,1,3025
35,228,28,6,0,37,15,"Never-married",0,0,245,0,0,1,1369
18,252,29,7,0,40,14,"Never-married",0,0,304,0,0,1,1600
28,45,24,3,1,40,-4,"Never-married",0,0,464,0,0,1,1600
64,64,20,1,0,65,-2,"Never-married",1,1,347,0,1,0,4225
3,80,20,1,1,65,-2,"Never-married",1,1,347,0,1,0,4225
8,111,23,5,1,36,-4,"Married",1,1,332,0,1,0,1296
77,204,26,7,1,40,500,"Divorced",1,1,340,0,1,0,1600
6,6,19,1,1,40,-4,"Never-married",0,0,,0,0,0,1600
6,64,19,6,1,40,-4,"Never-married",0,0,,0,0,0,1600
54,118,20,7,1,32,8,"Never-married",0,0,576,0,0,0,1024
1,119,20,8,1,24,-4,"Never-married",0,0,327,0,0,0,576
26,145,21,9,1,40,1000,"Married",0,0,363,0,0,0,1600
91,257,32,14,1,40,40,"Married",0,0,790,0,0,1,1600
72,329,34,15,1,40,200,"Married",0,0,1105,0,0,1,1600
27,356,34,16,1,40,12,"Married",0,0,2506,0,0,1,1600
63,200,27,3,1,35,5,"Never-married",0,1,201,0,1,0,1225
10,10,18,1,1,20,-4,"Never-married",0,0,274,0,0,0,400
44,64,20,4,1,40,40,"Never-married",0,0,272,1,0,0,1600
74,146,24,6,0,40,12,"Never-married",0,0,269,0,0,0,1600
143,331,26,8,0,40,80,"Never-married",0,0,421,0,0,0,1600
40,40,20,1,1,40,-2,"Never-married",0,0,337,0,1,0,1600
166,166,22,1,0,20,25,"Never-married",0,1,76,0,0,1,400
18,186,23,2,0,40,-2,"Never-married",0,1,437,1,0,1,1600
214,293,29,3,1,40,40,"Never-married",1,1,714,0,0,1,1600
180,180,22,1,0,20,-4,"Never-married",0,1,384,1,0,1,400
36,274,25,3,1,20,50,"Never-married",0,1,332,0,0,1,400
7,281,25,4,1,20,-4,"Never-married",0,1,420,0,0,1,400
428,709,32,5,1,50,200,"Married",0,1,1060,0,0,1,2500
33,33,17,1,1,30,20,"Never-married",0,1,261,0,0,0,900
13,54,17,3,1,40,-4,"Never-married",0,1,283,0,0,0,1600
87,161,20,7,1,40,5,"Never-married",0,1,363,0,0,0,1600
26,187,20,8,1,40,7,"Never-married",0,1,276,0,0,0,1600
3,190,20,9,1,40,-4,"Never-married",0,1,262,1,0,0,1600
4,342,26,14,0,30,-4,"Never-married",0,1,218,0,0,0,900
64,411,27,15,0,40,100,"Never-married",0,1,448,0,0,0,1600
34,452,28,16,1,40,15,"Never-married",0,1,299,0,0,0,1600
28,554,31,18,1,40,15,"Never-married",0,1,347,0,0,0,1600
18,616,31,21,1,40,-4,"Never-married",0,1,280,0,0,0,1600
10,121,22,3,0,35,-2,"Never-married",1,1,243,0,1,0,1225
39,202,24,7,1,40,-4,"Never-married",1,1,421,0,1,0,1600
19,19,18,1,1,30,-4,"Never-married",0,1,286,0,1,0,900
110,129,20,2,0,20,-2,"Never-married",0,1,330,0,1,0,400
29,277,23,4,1,40,-4,"Never-married",0,1,350,0,1,0,1600
87,364,24,5,0,40,9,"Never-married",0,1,404,0,1,0,1600
298,476,29,5,1,40,-4,"Married",1,1,246,1,1,0,1600
116,592,31,6,0,50,-2,"Married",1,1,275,1,1,0,2500
52,52,19,1,1,36,10,"Never-married",1,1,294,0,1,0,1296
49,101,20,2,0,37,3000,"Never-married",1,1,716,0,1,0,1369
43,209,22,2,1,17,-2,"Never-married",1,1,725,0,1,0,289
209,418,26,4,1,35,6,"Married",1,1,552,0,1,0,1225
2,420,26,5,1,40,-4,"Married",1,1,495,0,1,0,1600
10,430,27,6,1,60,-4,"Married",1,1,350,0,1,0,3600
39,469,27,7,0,35,-2,"Married",1,1,350,0,1,0,1225
1,1,17,2,1,25,-4,"Never-married",0,1,267,0,0,0,625
62,240,26,11,1,40,24,"Never-married",0,1,421,0,0,0,1600
22,372,29,15,1,65,1000,"Never-married",0,1,198,0,0,0,4225
61,77,21,3,1,32,12,"Never-married",1,1,81,0,1,0,1024
8,399,32,9,1,60,-4,"Never-married",1,1,368,0,1,0,3600
10,18,19,3,1,21,-4,"Never-married",1,1,307,0,0,0,441
11,29,19,4,1,40,-4,"Never-married",1,1,264,0,0,0,1600
9,62,21,8,0,30,-4,"Married",1,1,256,0,0,0,900
7,196,24,11,0,25,-4,-3,1,1,221,0,0,0,625
7,267,26,14,1,40,-4,"Separated",1,1,236,0,0,0,1600
14,281,27,15,0,40,-2,"Separated",1,1,72,0,0,0,1600
11,295,29,16,0,25,12,"Divorced",1,1,245,0,0,0,625
3,317,31,16,0,20,11,"Divorced",1,1,233,0,0,0,400
7,329,31,20,0,20,20,"Divorced",1,1,67,0,0,0,400
13,34,18,4,1,35,7,"Never-married",1,0,239,0,0,0,1225
142,291,28,11,0,8,15,"Separated",1,0,338,0,0,0,64
3,99,21,4,0,30,-4,"Never-married",1,0,197,0,0,0,900
11,121,22,5,0,28,2,"Never-married",1,0,137,0,0,0,784
60,188,23,7,1,35,-2,"Never-married",1,0,204,0,0,0,1225
21,214,25,9,1,40,-4,"Never-married",1,0,227,0,0,0,1600
129,147,17,2,0,28,-4,"Never-married",1,0,242,0,0,0,784
16,16,19,1,1,15,-2,"Married",1,1,233,0,0,0,225
4,20,19,2,1,35,-4,"Married",1,1,311,0,0,0,1225
119,274,23,5,0,40,30,"Married",1,1,464,0,0,0,1600
22,54,25,3,1,45,20,"Never-married",1,0,42,0,0,0,2025
18,72,25,4,0,45,60,"Never-married",1,0,41,0,0,0,2025
21,187,29,6,0,42,15,"Never-married",1,0,91,0,1,0,1764
25,60,19,2,1,20,-2,"Never-married",0,0,236,0,0,0,400
10,100,20,4,1,12,-4,"Never-married",0,0,230,0,0,0,144
1,183,27,10,0,30,-4,"Never-married",0,0,241,0,0,0,900
20,252,29,13,1,40,-4,"Never-married",0,0,300,0,0,0,1600
41,120,23,6,1,35,7,"Married",1,0,210,0,1,0,1225
17,17,18,1,0,40,30,"Never-married",0,0,231,0,1,0,1600
80,126,19,2,1,40,75,"Never-married",0,0,403,0,1,0,1600
96,111,24,2,1,30,4,"Never-married",1,1,242,0,1,0,900
226,226,22,1,1,40,700,"Never-married",0,1,737,0,1,0,1600
122,348,26,2,1,40,180,"Never-married",0,1,589,0,1,0,1600
257,605,33,3,1,40,2000,"Never-married",0,1,1328,0,1,0,1600
76,76,25,1,0,40,50,"Never-married",0,1,244,0,1,0,1600
99,99,21,1,0,35,100,"Never-married",0,1,246,1,0,0,1225
1,113,23,3,1,40,-4,"Never-married",0,1,185,0,0,0,1600
15,128,23,4,1,40,-4,"Never-married",0,1,371,0,0,0,1600
51,51,18,1,0,36,90,"Never-married",1,1,379,0,1,0,1296
33,128,18,1,1,36,90,"Never-married",1,1,366,0,1,0,1296
208,669,30,5,1,60,2000,"Married",1,1,640,0,1,0,3600
63,732,31,6,1,45,400,"Married",1,1,1336,0,1,0,2025
109,269,25,3,1,50,100,"Married",1,1,408,0,0,1,2500
118,387,28,4,0,40,300,"Married",1,1,875,0,0,1,1600
8,23,23,2,0,20,-4,"Never-married",1,1,260,0,0,1,400
34,62,24,3,0,40,500,"Never-married",1,1,828,1,0,1,1600
62,149,26,5,0,24,5000,"Never-married",1,1,842,1,0,1,576
113,113,20,1,0,25,30,"Never-married",1,0,220,0,1,0,625
71,167,28,3,1,50,20,"Never-married",1,1,399,1,0,1,2500
57,57,19,1,1,40,3000,"Never-married",1,1,410,0,1,0,1600
70,127,21,2,1,25,1,"Never-married",1,1,733,1,1,0,625
82,177,22,4,1,40,200,"Never-married",0,1,464,0,0,0,1600
61,238,23,5,1,40,23,"Never-married",0,1,450,0,0,0,1600
20,258,24,6,1,40,1,"Never-married",0,1,350,0,0,0,1600
145,403,26,7,1,40,20,"Never-married",0,1,580,0,0,0,1600
42,42,19,1,1,45,13,"Never-married",0,1,313,0,0,0,2025
9,51,19,2,0,30,30,"Never-married",0,1,84,0,0,0,900
117,321,26,6,0,40,3000,"Never-married",0,1,642,0,0,0,1600
39,566,32,9,0,40,60,"Married",0,1,1914,0,0,0,1600
12,12,19,1,0,10,2,"Never-married",1,1,316,0,0,0,100
57,57,19,1,1,35,20,"Never-married",1,1,221,0,1,0,1225
15,72,19,2,1,40,500,"Never-married",1,1,368,0,1,0,1600
10,82,19,3,1,20,-4,"Never-married",1,1,87,0,1,0,400
116,218,30,4,1,60,1000,"Never-married",0,1,701,1,0,1,3600
41,41,23,1,0,10,15,"Never-married",1,0,240,1,0,1,100
97,97,19,1,0,40,12,"Never-married",0,0,259,0,0,0,1600
29,266,23,3,1,40,100,"Never-married",0,0,288,0,1,0,1600
72,338,24,4,1,40,50,"Never-married",0,0,334,0,1,0,1600
13,505,28,7,1,48,50,"Married",0,0,473,0,1,0,2304
169,169,20,1,1,30,99995,"Never-married",0,0,262,0,1,0,900
22,260,22,3,1,40,35,"Never-married",0,0,384,0,1,0,1600
77,337,23,4,0,32,26,"Never-married",0,0,523,0,1,0,1024
5,13,18,2,1,8,-4,"Never-married",1,0,289,0,0,0,64
12,177,24,7,1,40,-4,"Never-married",1,0,269,0,0,0,1600
12,189,24,8,0,25,25,"Never-married",1,0,326,0,0,0,625
5,198,24,9,0,35,3,"Never-married",1,0,345,0,0,0,1225
4,258,35,17,1,40,-4,"Never-married",1,0,485,0,0,0,1600
63,331,29,7,0,40,15,"Married",0,1,744,1,0,1,1600
22,56,21,2,0,20,3,"Never-married",1,1,315,0,1,0,400
4,78,22,2,1,25,3,"Never-married",1,1,306,0,1,0,625
28,118,23,5,1,30,25,"Never-married",1,1,280,0,1,0,900
39,157,24,6,1,35,10,"Never-married",1,1,539,0,1,0,1225
57,345,23,7,1,40,8,"Divorced",0,1,446,0,1,0,1600
30,416,25,9,1,45,9,"Divorced",0,1,595,0,1,0,2025
41,531,27,11,0,40,7,"Divorced",0,1,676,0,1,0,1600
51,172,33,2,1,40,10,"Married",1,1,1623,0,1,0,1600
17,17,26,1,0,20,70,"Never-married",1,1,210,0,0,1,400
13,13,18,1,1,28,-4,"Never-married",0,1,348,0,0,0,784
32,73,20,3,1,40,200,"Never-married",0,1,374,0,0,0,1600
48,48,23,1,1,8,1000,"Never-married",1,1,461,1,0,1,64
23,43,18,3,1,40,25,"Never-married",0,1,229,0,1,0,1600
22,65,18,4,1,29,35,"Never-married",0,1,267,0,1,0,841
186,725,31,10,1,40,40,"Married",0,1,710,0,0,1,1600
22,25,24,2,1,40,20,"Never-married",1,1,483,1,0,1,1600
137,311,32,7,1,30,17,"Never-married",1,1,344,1,0,1,900
42,402,34,9,1,40,48,"Never-married",1,1,468,1,0,1,1600
33,176,23,5,1,30,2,"Never-married",0,1,288,0,1,0,900
498,619,32,1,0,8,30,"Never-married",1,1,471,0,0,1,64
7,136,18,4,1,30,-4,"Never-married",1,1,242,0,1,0,900
7,143,19,5,1,35,-4,"Never-married",1,1,286,0,1,0,1225
16,159,19,6,0,20,20,"Never-married",1,1,348,0,1,0,400
42,295,26,10,0,45,90,"Never-married",1,1,598,0,1,0,2025
3,3,22,1,0,42,25,"Never-married",0,1,585,0,0,1,1764
44,401,23,3,1,40,60,"Never-married",0,1,323,0,1,0,1600
36,462,25,5,0,60,20,"Never-married",0,1,356,0,1,0,3600
101,711,32,11,1,65,35,"Never-married",0,1,335,0,1,0,4225
19,141,22,3,1,16,1000,"Never-married",1,1,538,1,1,0,256
9,150,22,4,0,40,1000,"Never-married",1,1,845,1,1,0,1600
45,59,21,3,1,30,10,"Never-married",0,1,327,0,1,0,900
18,77,21,4,1,40,1,"Never-married",0,1,819,0,1,0,1600
35,112,23,5,1,40,30,"Never-married",0,1,393,0,1,0,1600
45,157,23,6,1,40,400,"Never-married",0,1,446,0,1,0,1600
87,274,26,9,1,40,200,"Married",0,1,548,0,1,0,1600
51,325,27,10,1,40,700,"Married",0,1,612,0,1,0,1600
42,367,28,11,1,40,-4,"Married",0,1,700,0,1,0,1600
282,649,33,12,1,40,-4,"Married",0,1,1246,0,1,0,1600
35,35,22,1,1,6,500,"Never-married",1,1,286,1,0,1,36
60,221,30,5,0,42,150,"Never-married",1,1,564,1,0,1,1764
16,16,18,1,0,10,200,"Married",0,0,225,0,1,0,100
22,22,22,1,0,40,40,"Never-married",1,1,403,0,0,1,1600
3,54,22,3,0,20,-4,"Never-married",1,1,394,0,0,1,400
248,449,32,7,1,24,1000,"Married",1,1,505,1,0,1,576
57,506,32,8,1,55,7,"Married",1,1,871,1,0,1,3025
31,89,27,5,0,40,50,"Never-married",1,1,467,1,0,1,1600
106,231,30,5,0,32,2,"Never-married",1,1,554,1,0,1,1024
8,242,30,7,0,1,1,"Never-married",1,1,645,0,0,1,1
129,500,35,3,1,36,1200,"Married",0,1,122,1,0,1,1296
17,517,35,4,0,0,600,"Married",0,1,949,1,0,1,0
39,175,23,2,1,40,-4,"Never-married",0,1,540,0,0,1,1600
7,182,23,3,1,38,-4,"Never-married",0,1,633,0,0,1,1444
372,554,30,4,1,40,400,"Never-married",0,1,951,0,0,1,1600
38,592,32,5,1,50,3000,"Never-married",0,1,884,0,0,1,2500
52,52,26,1,1,40,250,"Never-married",0,1,675,0,0,1,1600
82,135,29,2,0,40,150,"Never-married",1,1,761,1,0,1,1600
16,22,17,2,0,30,250,"Never-married",0,0,286,0,0,0,900
14,140,31,11,0,40,38,"Never-married",0,0,260,0,0,0,1600
4,198,27,5,1,40,200,"Never-married",1,0,1187,0,0,1,1600
3,310,29,7,1,45,-4,"Never-married",1,0,282,0,0,1,2025
13,323,29,8,1,32,-4,"Never-married",1,0,80,0,0,1,1024
57,85,20,2,1,40,30,"Married",1,0,273,0,1,0,1600
60,145,20,3,1,43,5,"Married",1,0,283,0,1,0,1849
161,306,24,4,1,40,15,"Divorced",1,0,365,0,1,0,1600
50,356,24,5,1,40,4,"Divorced",1,0,433,0,1,0,1600
147,627,33,7,1,40,100,"Married",1,0,569,0,1,0,1600
52,679,33,8,1,40,50,"Married",1,0,474,0,1,0,1600
63,63,19,1,0,7,200,"Never-married",0,0,1908,0,1,0,49
12,216,20,1,0,2,300,"Never-married",0,0,819,0,1,0,4
84,336,22,5,0,40,400,"Never-married",0,0,434,0,1,0,1600
44,385,23,5,1,40,200,"Never-married",0,0,422,0,1,0,1600
197,197,21,1,1,25,150,"Never-married",0,0,315,0,1,0,625
73,215,23,8,0,18,-2,"Never-married",1,0,328,1,1,0,324
11,338,25,9,0,30,15,"Never-married",1,0,227,0,1,0,900
79,452,31,12,0,15,25,"Never-married",1,0,229,0,1,0,225
29,41,17,2,0,30,1,"Never-married",0,0,204,0,0,0,900
29,82,18,2,0,40,2,"Never-married",0,0,242,0,0,0,1600
8,118,18,4,1,30,-4,"Never-married",0,0,282,0,0,0,900
34,154,20,6,1,40,25,"Never-married",0,0,288,0,0,0,1600
57,57,24,1,1,24,-2,"Never-married",0,0,443,1,1,0,576
214,271,28,2,1,40,125,"Never-married",0,0,853,0,0,1,1600
5,12,20,2,1,30,-4,"Never-married",0,0,231,0,1,0,900
19,31,20,3,1,45,3,"Never-married",0,0,242,0,1,0,2025
16,71,21,5,1,40,11,"Never-married",0,0,286,0,1,0,1600
1,98,23,9,0,30,-4,"Married",0,0,256,0,1,0,900
3,3,19,3,0,8,-2,"Never-married",1,0,343,0,1,0,64
2,40,20,3,0,20,-2,"Never-married",1,0,374,0,1,0,400
9,64,20,5,1,40,300,"Never-married",1,0,305,0,1,0,1600
61,205,24,7,1,40,500,"Married",1,0,485,0,1,0,1600
28,28,19,1,1,30,5,"Never-married",0,0,322,0,1,0,900
2,85,22,6,1,32,-4,"Never-married",0,0,269,0,1,0,1024
42,135,23,9,0,38,20,"Never-married",0,0,351,0,1,0,1444
36,176,24,9,1,33,15,"Never-married",0,0,357,0,1,0,1089
58,301,27,13,1,40,2,"Married",0,0,399,0,1,0,1600
80,544,32,16,0,40,40,"Married",0,0,553,0,1,0,1600
18,18,22,1,0,40,15,"Never-married",1,0,458,1,0,1,1600
11,25,22,3,1,30,-4,"Never-married",0,0,288,0,1,0,900
26,60,23,5,0,40,-4,"Never-married",0,0,315,0,1,0,1600
21,94,26,7,0,36,-4,"Never-married",0,0,306,0,1,0,1296
63,204,31,9,0,40,-4,"Never-married",0,0,352,0,1,0,1600
29,138,22,2,0,8,7,"Never-married",0,0,676,0,1,0,64
41,243,24,2,0,10,6,"Never-married",0,0,334,0,1,0,100
108,216,25,2,0,40,2,"Never-married",0,0,267,0,1,0,1600
16,431,31,4,1,25,-4,"Never-married",0,0,306,0,1,0,625
31,31,19,1,1,18,35,"Never-married",0,1,322,0,1,0,324
134,192,26,3,0,40,-4,"Never-married",0,1,741,0,1,0,1600
17,216,26,3,1,40,-4,"Never-married",0,1,744,0,1,0,1600
27,525,32,6,1,40,1,"Never-married",0,1,520,0,1,0,1600
122,225,27,7,1,40,200,"Never-married",0,1,613,0,0,1,1600
99,204,27,3,1,40,60,"Married",1,1,757,0,0,1,1600
132,285,21,4,1,50,12,"Never-married",0,1,425,0,1,0,2500
114,461,24,6,0,35,5,"Never-married",0,1,345,0,1,0,1225
115,115,19,1,1,30,20,"Never-married",1,1,327,0,1,0,900
23,149,19,3,1,30,200,"Never-married",1,1,326,0,1,0,900
29,178,20,4,0,18,5,"Never-married",1,1,343,0,1,0,324
261,285,28,3,1,48,500,"Never-married",0,1,827,0,0,1,2304
121,121,25,1,1,50,9,"Never-married",1,1,538,1,0,1,2500
129,250,27,2,1,40,320,"Never-married",1,1,1252,0,0,1,1600
312,312,30,1,1,40,-4,"Never-married",0,1,553,0,0,1,1600
41,131,27,3,1,12,25,"Married",1,1,297,0,0,1,144
25,156,28,4,0,20,-4,"Married",1,1,546,1,0,1,400
87,255,30,4,0,12,-4,"Married",1,1,593,1,0,1,144
10,272,30,6,0,8,50,"Married",1,1,332,0,0,1,64
133,423,33,7,0,50,200,"Separated",1,1,503,0,0,1,2500
111,538,35,8,1,40,10,"Divorced",1,1,618,0,0,1,1600
137,137,21,1,0,5,40,"Never-married",1,1,85,0,1,0,25
4,56,24,2,1,8,-4,"Never-married",1,1,486,0,0,1,64
28,90,25,4,1,15,6,"Married",1,1,385,1,0,1,225
409,499,33,5,1,40,20,"Married",1,1,1546,0,0,1,1600
305,469,29,2,1,40,20,"Never-married",1,1,413,0,0,1,1600
50,50,23,1,0,35,35,"Never-married",1,1,552,0,0,1,1225
